ID,TIER,REQUISITES,LEVEL_REQ_INCREASE
perkRobotWrangler,1,"{""intelligence"": 5}",
perkAmmosmith,3,"{""intelligence"": 7, ""level"": 2}",4
perkAllNightLong,1,"{""level"": 16}",
perkBodyguards,1,"{""charisma"": 8, ""level"": 5}",
perkCommunityOrganizer,3,"{""charisma"": 5, ""endurance"": 5, ""level"": 1}",3
perkContractor,3,"{""charisma"": 5, ""intelligence"": 5, ""level"": 2}",4
perkCovertOperator,1,"{""agility"": 8}",
perkEnforcer,1,"{""agility"": 9, ""level"": 12}",
perkGreenThumb,1,"{""perception"": 4, ""level"": 4}",
perkGunRunner,1,"{""agility"": 6, ""level"": 4}",
perkHappyCamper,2,"{""charisma"": 7, ""endurance"": 6, ""level"": 3}",
perkHiredHelp,1,"{""charisma"": 7}",
perkHomeDefense,2,"{""intelligence"": 6, ""level"": 5}",5
perkHomebody,2,"{""endurance"": 6, ""level"": 5}",5
perkLocalLeader,2,"{""charisma"": 6, ""level"": 2}",5
perkLockAndLoad,3,"{""strength"": 7, ""level"": 2}",4
perkMechanicalMenace,1,"{""charisma"": 6, ""intelligence"": 5}",
perkClassFreak,1,"{""charisma"": 6, ""intelligence"": 5}",
perkNocturnalFortitude,1,"{""endurance"": 6, ""level"": 12}",
perkPannapictagraphist,1,"{""luck"": 5}",
perkPharmacist,3,"{""intelligence"": 8, ""level"": 2}",6
perkPhotosynthetic,2,"{""endurance"": 7, ""level"": 5}",10
perkQuackSurgeon,1,"{""charisma"": 7, ""level"": 12}",
perkRejuvenated,1,"{""endurance"": 7, ""level"": 12}",
perkRetribution,3,"{""endurance"": 8, ""luck"": 8, ""level"": 2}",5
perkSquadManeuvers,2,"{""charisma"": 7}",
perkSuperDuper,3,"{""luck"": 6, ""level"": 3}",4
perkTakingOneForTheTeam,3,"{""endurance"": 7, ""charisma"": 6, ""level"": 1}",4
perkTinkerer,1,"{""endurance"": 5, ""intelligence"": 5}",
perkTrueFriends,2,"{""perception"": 6, ""charisma"": 6}",4
perkBlocker,3,"{""strength"": 6, ""level"": 1}",5
perkGladiator,3,"{""strength"": 6, ""level"": 2}",5
perkBulletShield,3,"{""strength"": 8, ""level"": 8}",6
perkIncisor,2,"{""strength"": 6, ""level"": 2}",9
perkMartialArtist,1,"{""strength"": 6, ""level"": 8}",
perkPackRat,1,"{""strength"": 6, ""level"": 4}",
perkScattershot,1,"{""strength"": 7, ""level"": 10}",
perkSturdyFrame,3,"{""strength"": 8, ""level"": 5}",8
perkArcher,3,"{""perception"": 6, ""level"": 1}",7
perkBowBeforeMe,1,"{""perception"": 8, ""level"": 4}",
perkButchersBounty,3,"{""perception"": 8, ""level"": 3}",5
perkCrackShot,2,"{""perception"": 7, ""level"": 7}",7
perkFireInTheHole,1,"{""perception"": 8, ""level"": 8}",
perkGlowSight,3,"{""perception"": 8, ""level"": 3}",8
perkNightEyes,1,"{""perception"": 8, ""level"": 7}",
perkDromedary,1,"{""endurance"": 7, ""level"": 3}",
perkCannibal,3,"{""endurance"": 8, ""level"": 10}",9
perkColaNut,1,"{""endurance"": 6, ""level"": 14}",
perkFireproof,3,"{""endurance"": 6, ""level"": 7}",7
perkGhoulish,3,"{""endurance"": 9, ""level"": 7}",8
perkIronclad,3,"{""endurance"": 7, ""level"": 5}",5
perkNaturalResistance,1,"{""endurance"": 7, ""level"": 10}",
perkRadicool,1,"{""endurance"": 6, ""level"": 12}",
perkRevenant,1,"{""endurance"": 8, ""level"": 12}",
perkSlowMetabolizer,1,"{""endurance"": 7, ""level"": 5}",
perkThirstQuencher,1,"{""endurance"": 7, ""level"": 6}",
perkVaccinated,1,"{""endurance"": 7, ""level"": 16}",
perkBloodsucker,1,"{""charisma"": 6, ""level"": 11}",
perkFieldSurgeon,1,"{""charisma"": 8, ""intelligence"": 8, ""level"": 15}",
perkHappyGoLucky,1,"{""charisma"": 9, ""level"": 17}",
perkHealingHands,1,"{""charisma"": 8, ""intelligence"": 7, ""level"": 18}",
perkOverlyGenerous,1,"{""charisma"": 7, ""level"": 12}",
perkResponder,3,"{""charisma"": 8, ""intelligence"": 7, ""level"": 9}",7
perkSpiritualHealer,3,"{""charisma"": 7, ""level"": 6}",9
perkSuppressor,3,"{""charisma"": 6, ""level"": 10}",7
perkTenderizer,3,"{""charisma"": 7, ""level"": 8}",10
perkLicensedPlumber,1,"{""intelligence"": 6, ""level"": 5}",
perkPowerPatcher,3,"{""intelligence"": 6, ""level"": 5}",10
perkPowerUser,3,"{""intelligence"": 9, ""level"": 10}",10
perkStabilized,1,"{""intelligence"": 7, ""level"": 16}",
perkBornSurvivor,3,"{""agility"": 8, ""level"": 3}",8
perkDeadManSprinting,1,"{""agility"": 7, ""level"": 8}",
perkEscapeArtist,1,"{""agility"": 8, ""level"": 15}",
perkGoatLegs,3,"{""agility"": 7, ""level"": 7}",5
perkModernRenegade,3,"{""agility"": 7, ""level"": 8}",5
perkSecretAgent,3,"{""agility"": 9, ""level"": 7}",5
perkDryNurse,1,"{""luck"": 8, ""level"": 13}",
perkJunkShield,3,"{""luck"": 7, ""level"": 1}",8
perkMysteriousSavior,1,"{""luck"": 7, ""level"": 1}",
perkPsychopath,3,"{""luck"": 8, ""level"": 11}",6
perkSerendipity,3,"{""luck"": 7, ""level"": 5}",6
perkStormChaser,1,"{""luck"": 6, ""level"": 15}",
