ID,TYPE,SUBTYPE,PHYSICAL_RES,ENERGY_RES,RADIATION_RES,LOCATIONS_COVERED,WEIGHT,COST,RARITY,DESCRIPTION,AVAILABLE_MODS
armorLeatherSturdyArm,armor,leather,2,3,0,"[""leg""]",5,18,2,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorLeatherHeavyChest,armor,leather,3,4,0,"[""torso""]",15,75,3,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorLeatherHeavyLeg,armor,leather,3,4,0,"[""leg""]",7,30,3,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorLeatherHeavyArm,armor,leather,3,4,0,"[""arm""]",7,28,3,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorMetalHelmet,armor,metal,2,1,0,"[""head""]",3,15,1,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato
armorMetalChest,armor,metal,2,1,0,"[""torso""]",6,40,1,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorMetalLeg,armor,metal,2,1,0,"[""leg""]",3,15,1,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorMetalArm,armor,metal,2,1,0,"[""arm""]",3,15,1,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorMetalSturdyHelmet,armor,metal,3,2,0,"[""head""]",8,65,2,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato
armorMetalSturdyChest,armor,metal,3,2,0,"[""torso""]",16,115,2,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorMetalSturdyLeg,armor,metal,3,2,0,"[""leg""]",8,65,2,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorMetalSturdyArm,armor,metal,3,2,0,"[""arm""]",8,65,2,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorMetalHeavyHelmet,armor,metal,4,3,0,"[""head""]",12,115,3,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato
armorMetalHeavyChest,armor,metal,4,3,0,"[""torso""]",23,190,3,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorMetalHeavyLeg,armor,metal,4,3,0,"[""leg""]",12,115,3,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorMetalHeavyArm,armor,metal,4,3,0,"[""arm""]",12,115,3,"Un rivestimento di metallo modellato tenuto insieme da cinghie, in grado di fornire una buona protezione dagli impatti fisici ma non molta dagli attacchi a energia.",Material: Metallo In Lega; Metallo Lucidato; Metallo Ombrato; Metallo Smaltato; Metallo Verniciato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorCombatHelmet,armor,combat,2,2,0,"[""head""]",4,25,2,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Fibra di Vetro; Ombrato; In Polimeri; Rinforzato
armorCombatChest,armor,combat,2,2,0,"[""torso""]",8,60,2,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorCombatLeg,armor,combat,2,2,0,"[""leg""]",2,25,2,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorCombatArm,armor,combat,2,2,0,"[""arm""]",2,25,2,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorCombatSturdyHelmet,armor,combat,3,3,0,"[""head""]",5,105,3,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Fibra di Vetro; Ombrato; In Polimeri; Rinforzato
armorCombatSturdyChest,armor,combat,3,3,0,"[""torso""]",12,140,3,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorCombatSturdyLeg,armor,combat,3,3,0,"[""leg""]",5,105,3,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorCombatSturdyArm,armor,combat,3,3,0,"[""arm""]",5,105,3,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorCombatHeavyHelmet,armor,combat,4,4,0,"[""head""]",7,185,4,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Fibra di Vetro; Ombrato; In Polimeri; Rinforzato
armorCombatHeavyChest,armor,combat,4,4,0,"[""torso""]",16,220,4,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorCombatHeavyLeg,armor,combat,4,4,0,"[""leg""]",7,185,4,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorCombatHeavyArm,armor,combat,4,4,0,"[""arm""]",7,145,4,"Progettati prima della Guerra per i soldati dell’Esercito Americano. Furono costruite per proteggere chi le indossava sia dagli attacchi fisici, che da quelli a energia, pur senza essere pesanti o scomode.",Material: Fibra di Vetro; Ombrato; In Polimeri; Rinforzato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
