ID,TYPE,SLOT_TYPE,DESCRIPTOR,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,WEAPON_TYPES
modBarbedBaseballBat,mod,modSlotMelee,Barbed,"[""effectAdd:effectPiercing:1""]",0,5,repair,[],1,"[""weaponBaseballBat""]"
modBladeBaseballBat,mod,modSlotMelee,Blade,"[""damageAdd:2"",""effectAdd:effectPersistent""]",1,12,repair,"[""blacksmith:2""]",3,"[""weaponBaseballBat""]"
modPuncturedPowerFist,mod,modSlotMelee,Punctured,"[""damageAdd:2"",""effectAdd:effectPiercing:1""]",0.5,45,repair,"[""blacksmith:2""]",3,"[""weaponPowerFist""]"
modHeatingPowerFist,mod,modSlotMelee,Heating,"[""damageAdd:2"",""damageTypeSet:energy""]",0,100,repair,"[""blacksmith:3""]",3,"[""weaponPowerFist""]"
modCurvedRipper,mod,modSlotMelee,Curved,"[""damageAdd:1""]",0.5,15,repair,[],3,"[""weaponRipper""]"
modExtendedRipper,mod,modSlotMelee,Extended,"[""damageAdd:1"",""effectAdd:effectPersistent""]",1.5,25,repair,"[""blacksmith:3""]",3,"[""weaponRipper""]"
modExtraFlamesShishkebab,mod,modSlotMelee,Extra Flames,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,100,repair,"[""blacksmith:3""]",4,"[""weaponShishkebab""]"
modStunningSword,mod,modSlotMelee,Stunning,"[""damageAdd:2"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,100,repair,"[""blacksmith:3"",""science:1""]",2,"[""weaponChineseSword""]"
modElectrifiedSword,mod,modSlotMelee,Electrified,"[""damageAdd:1"",""damageTypeSet:energy""]",0,50,repair,"[""blacksmith:2"",""science:1""]",3,"[""weaponChineseSword""]"
modSerratedSword,mod,modSlotMelee,Serrated,"[""effectAdd:effectPersistent""]",0,25,repair,"[""blacksmith:2""]",2,"[""weaponChineseSword""]"
modElectrifiedSerratedSword,mod,modSlotMelee,Electrified Serrated,"[""damageAdd:1"",""damageTypeSet:energy"",""effectAdd:effectPersistent""]",0,75,repair,"[""blacksmith:3"",""science:1""]",4,"[""weaponChineseSword""]"
modSharpPoolCue,mod,modSlotMelee,Sharp,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,3,repair,[],1,"[""weaponPoolCue""]"
modBarbedPoolCue,mod,modSlotMelee,Barbed,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,2,repair,[],1,"[""weaponPoolCue""]"
modHeatingSuperSledge,mod,modSlotMelee,Heating,"[""damageAdd:1"",""damageTypeSet:energy""]",0,180,repair,"[""blacksmith:2""]",3,"[""weaponSuperSledge""]"
modStunningSuperSledge,mod,modSlotMelee,Stunning,"[""damageAdd:2"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,360,repair,"[""blacksmith:3"",""science:1""]",2,"[""weaponSuperSledge""]"
modSharpKnuckles,mod,modSlotMelee,Sharp,"[""effectAdd:effectPersistent""]",0,3,repair,[],1,"[""weaponKnuckles""]"
modSpikedKnuckles,mod,modSlotMelee,Spiked,"[""effectAdd:effectPiercing:1""]",0,3,repair,[],1,"[""weaponKnuckles""]"
modPuncturedKnuckles,mod,modSlotMelee,Punctured,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,4,repair,"[""blacksmith:1""]",1,"[""weaponKnuckles""]"
modBladeKnuckles,mod,modSlotMelee,Blade,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,5,repair,"[""blacksmith:1""]",3,"[""weaponKnuckles""]"
modSpikedLeadPipe,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,4,repair,[],1,"[""weaponLeadPipe""]"
modHeavyLeadPipe,mod,modSlotMelee,Heavy,"[""damageAdd:2""]",1,11,repair,"[""blacksmith:2""]",1,"[""weaponLeadPipe""]"
modSpikedTireIron,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,5,repair,[],1,"[""weaponTireIron""]"
modHeavyTireIron,mod,modSlotMelee,Heavy,"[""damageAdd:1""]",0.5,4,repair,[],1,"[""weaponTireIron""]"
