ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPES,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS,IS_BLADED,SOURCE
weaponPoolCue,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,"[""qualityTwoHanded""]",0.5,10,0,na,"[""modSharpPoolCue"", ""modBarbedPoolCue""]",false,Corebook
weaponSuperSledge,weapon,meleeWeapons,6,"[""effectBreaking""]","[""physical""]",-,rangeR,"[""qualityTwoHanded""]",10,180,3,na,"[""modHeatingSuperSledge"", ""modStunningSuperSledge""]",false,Corebook
weaponKnuckles,weapon,unarmed,3,[],"[""physical""]",-,rangeR,"[""qualityConcealed""]",0,10,1,na,"[""modSharpKnuckles"", ""modSpikedKnuckles"", ""modPuncturedKnuckles"", ""modBladeKnuckles""]",false,Corebook
weaponLeadPipe,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],1.5,15,0,na,"[""modSpikedLeadPipe"", ""modHeavyLeadPipe""]",false,Corebook
weaponBayonet,weapon,meleeWeapons,4,"[""effectPiercing:1""]","[""physical""]",-,rangeR,"[""qualityMelee""]",-,-,-,na,[],true,
weaponMissileLauncherBayonet,weapon,meleeWeapons,4,"[""effectPiercing:1""]","[""physical""]",-,rangeR,"[""qualityMelee""]",-,-,-,na,[],true,
weaponShredder,weapon,meleeWeapons,6,"[""effectPiercing:2""]","[""physical""]",-,rangeR,"[""qualityMelee""]",-,-,-,na,[],true,
weaponIronFist,weapon,unarmed,3,[],"[""physical""]",-,rangeR,[],-,-,-,na,[],false,
weaponMrHandyCircularSaw,weapon,meleeWeapons,3,"[""effectPiercing:1""]","[""physical""]",-,rangeR,"[""qualityMrHandyOnly""]",0,50,2,na,[],true,
weaponMrHandyPliers,weapon,unarmed,2,[],"[""physical""]",-,rangeR,"[""qualityMrHandyOnly""]",0,10,1,na,[],false,
weaponAssaultronBlade,weapon,meleeWeapons,4,"[""effectPiercing:1""]","[""physical""]",0,rangeR,"[]",1.5,50,3,na,"[""modElectrified""]",true,Wanderers DLC
weaponAutoAxe,weapon,meleeWeapons,5,"[""effectVicious""]","[""physical""]",0,rangeR,"[""qualityTwoHanded""]",10.0,100,3,na,"[""modElectrified"",""modBurning"",""modPoisoned"",""modTurbo""]",true,Wanderers DLC
weaponBallisticFist,weapon,unarmed,6,"[""effectStun"",""effectVicious""]","[""physical""]",0,rangeR,"[""qualitySlowLoad""]",3.0,150,4,ammoShotgunShell,"[]",false,Wanderers DLC
weaponBumperSword,weapon,meleeWeapons,6,"[""effectPiercing:1""]","[""physical""]",0,rangeR,"[""qualityRecoil:7"",""qualityTwoHanded""]",6.0,125,2,na,"[]",true,Wanderers DLC
weaponCattleProd,weapon,meleeWeapons,7,"[""effectStun""]","[""energy""]",0,rangeR,"[]",1.5,90,4,na,"[]",false,Wanderers DLC
weaponChainsaw,weapon,meleeWeapons,6,"[""effectVicious""]","[""physical""]",0,rangeR,"[""qualityTwoHanded""]",6.0,140,3,na,"[""modDualBar"",""modBowBar"",""modLongBowBar"",""modFlaming""]",true,Wanderers DLC
weaponDeathTambo,weapon,unarmed,4,"[""effectPiercing:1""]","[""physical""]",0,rangeR,"[]",0.5,40,2,na,"[]",true,Wanderers DLC
weaponDisplacerGlove,weapon,unarmed,6,"[""effectPiercing:1"",""effectStun""]","[""physical""]",0,rangeR,"[]",3.0,175,4,na,"[]",false,Wanderers DLC
weaponGuitarSword,weapon,meleeWeapons,4,"[""effectPiercing:1""]","[""physical""]",0,rangeR,"[""qualityParry""]",1.5,45,3,na,"[]",true,Wanderers DLC
weaponMrHandyBuzzBlade,weapon,meleeWeapons,4,"[""effectVicious""]","[""physical""]",0,rangeR,"[""qualityTwoHanded""]",5.0,50,2,na,"[]",true,Wanderers DLC
weaponMultiPurposeAxe,weapon,meleeWeapons,5,"[]","[""physical""]",0,rangeR,"[""qualityTwoHanded""]",2.0,40,2,na,"[]",true,Wanderers DLC
weaponProtonAxe,weapon,meleeWeapons,5,"[""effectPiercing:1""]","[""energy""]",0,rangeR,"[""qualitySurge""]",4.0,175,5,na,"[]",true,Wanderers DLC
weaponWarDrum,weapon,meleeWeapons,5,"[""effectStun""]","[""physical""]",0,rangeR,"[""qualityTwoHanded""]",10.0,115,3,na,"[]",false,Wanderers DLC
