ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modChainBaseballBat,mod,modSlotMelee,"[""damageAdd:2""]",0.5,10,repair,"[""perkBlacksmith:1""]",3,Corebook
modSpikedBaseballBat,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,7,repair,[],2,Corebook
modBarbedBaseballBat,mod,modSlotMelee,"[""effectAdd:effectPiercing:1""]",0,5,repair,[],1,Corebook
modBladeBaseballBat,mod,modSlotMelee,"[""damageAdd:2"",""effectAdd:effectPersistent""]",1,12,repair,"[""perkBlacksmith:2""]",4,Corebook
modPuncturedPowerFist,mod,modSlotMelee,"[""damageAdd:2"",""effectAdd:effectPiercing:1""]",0.5,45,repair,"[""perkBlacksmith:2""]",3,Corebook
modHeatingPowerFist,mod,modSlotMelee,"[""damageAdd:2"",""damageTypeSet:energy""]",0,100,repair,"[""perkBlacksmith:3""]",4,Corebook
modCurvedRipper,mod,modSlotMelee,"[""damageAdd:1""]",0.5,15,repair,[],2,Corebook
modExtendedRipper,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",1.5,25,repair,"[""perkBlacksmith:3""]",5,Corebook
modExtraFlamesShishkebab,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,100,repair,"[""perkBlacksmith:3""]",5,Corebook
modStunningSword,mod,modSlotMelee,"[""damageAdd:2"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,100,repair,"[""perkBlacksmith:3"",""perkScience:1""]",5,Corebook
modElectrifiedSword,mod,modSlotMelee,"[""damageAdd:1"",""damageTypeSet:energy""]",0,50,repair,"[""perkBlacksmith:2"",""perkScience:1""]",4,Corebook
modSerratedSword,mod,modSlotMelee,"[""effectAdd:effectPersistent""]",0,25,repair,"[""perkBlacksmith:2""]",3,Corebook
modElectrifiedSerratedSword,mod,modSlotMelee,"[""damageAdd:1"",""damageTypeSet:energy"",""effectAdd:effectPersistent""]",0,75,repair,"[""perkBlacksmith:3"",""perkScience:1""]",5,Corebook
modSharpPoolCue,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,3,repair,[],1,Corebook
modBarbedPoolCue,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,2,repair,[],1,Corebook
modHeatingSuperSledge,mod,modSlotMelee,"[""damageAdd:1"",""damageTypeSet:energy""]",0,180,repair,"[""perkBlacksmith:2""]",3,Corebook
modStunningSuperSledge,mod,modSlotMelee,"[""damageAdd:2"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,360,repair,"[""perkBlacksmith:3"",""perkScience:1""]",5,Corebook
modSharpKnuckles,mod,modSlotMelee,"[""effectAdd:effectPersistent""]",0,3,repair,[],1,Corebook
modSpikedKnuckles,mod,modSlotMelee,"[""effectAdd:effectPiercing:1""]",0,3,repair,[],1,Corebook
modPuncturedKnuckles,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,4,repair,"[""perkBlacksmith:1""]",2,Corebook
modBladeKnuckles,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,5,repair,"[""perkBlacksmith:1""]",2,Corebook
modSpikedLeadPipe,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,4,repair,[],1,Corebook
modHeavyLeadPipe,mod,modSlotMelee,"[""damageAdd:2""]",1,11,repair,"[""perkBlacksmith:2""]",3,Corebook
modElectrified,mod,modSlotMelee,"[""damageAdd:1"",""damageTypeSet:energy""]",0,50,repair,"[""perkBlacksmith:2"",""perkScience:1""]",2,
modBurning,mod,modSlotMelee,"[""damageTypeSet:energy"",""effectAdd:effectPersistent""]",0,50,repair,"[""perkBlacksmith:2"",""perkScience:1""]",2,
modPoisoned,mod,modSlotMelee,"[""effectAdd:effectPersistent""]",0,50,repair,"[""perkBlacksmith:2"",""perkScience:1""]",2,
modTurbo,mod,modSlotMelee,"[""effectAdd:effectTurbo""]",1,50,repair,"[""perkBlacksmith:2"",""perkScience:1""]",2,
modDualBar,mod,modSlotMelee,"[""damageAdd:2""]",0.5,30,repair,"[""perkBlacksmith:2""]",2,
modBowBar,mod,modSlotMelee,"[""effectAdd:effectPiercing:1""]",1,45,repair,"[""perkBlacksmith:3""]",2,
modLongBowBar,mod,modSlotMelee,"[""effectAdd:effectPersistent""]",1.5,60,repair,"[""perkBlacksmith:3""]",2,
modFlaming,mod,modSlotMelee,"[""damageAdd:1"",""damageTypeSet:energy""]",1,90,repair,"[""perkBlacksmith:3"",""perkGunNut:1""]",2,
