ID,EFFECT,DURATION,ADDICTIVE,WEIGHT,COST,RARITY,DESCRIPTION
medsMedX,"+ 3 alla Resistenza ai Danni Fisici","Durevole",2,0,50,2,"Il Med-X è un potente analgesico oppioide che riduce in maniera significativa la percezione del dolore e la naturale risposta emotiva a esso. In breve, è un antidolorifico molto forte. ƒ Dipendenza da Med-X: Il fallimento di un tiro per la dipendenza rende assuefatti da Med-X. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove di AGI aumenta di +1 e si soffre 1 danno DC aggiuntivo per ogni attacco fisico."
medsMentats,"Permette di ripetere il tiro di 1d20 su tutte le prove di PER e INT","Durevole",3,0,50,2,"Prima della Grande Guerra le Mentat erano una droga ricreativa molto popolare, capace di incrementare le prestazioni aumentando la memoria e velocizzando i processi mentali. Era diffusa fra studenti sotto esame, filosofi e persone addette a lavori che richiedevano di pensare molto. L’effetto dura poco e, successivamente, lascia chi le utilizza stanco e deconcentrato; sono progettate per dare dipendenza e l’astinenza causa emicranie e irritabilità. ƒ Dipendenza da Mentat: Il fallimento di un tiro per la dipendenza rende assuefatti da Mentat. Quando non si è sotto l’effetto di un qualche tipo di Mentat (quelle Normali, ai Frutti di bosco, all’Uva o all’Arancia), la difficoltà di tutte le prove di CAR aumenta di +1."
medsBerryMentats,"Riduce la difficoltà di tutte le prove di INT di 2 (fino a un minimo di 0)","Durevole",2,0,60,3,"Una porzione di Mentat pensata per stimolare l’attività cerebrale e la memoria. ƒ Dipendenza da Mentat: Il fallimento di un tiro per la dipendenza rende assuefatti da Mentat. Quando non si è sotto l’effetto di un qualche tipo di Mentat (quelle Normali, ai Frutti di Bosco, all’Uva o all’Arancia), la difficoltà di tutte le prove di CAR aumenta di +1."
medsOrangeMentats,"Riduce la difficoltà delle prove di PER di 2 (fino a un minimo di 0) , l'azione minore Mirare fa ripetere il tiro di un ulteriore d20","Durevole",2,0,60,3,"Si tratta di una variante di Mentat che acuisce l’attenzione e i sensi. ƒ Dipendenza da Mentat: Il fallimento di un tiro per la dipendenza rende assuefatti da Mentat. Quando non si è sotto l’effetto di un qualche tipo di Mentat (quelle Normali, ai Frutti di Bosco, all’Uva o all’Arancia), la difficoltà di tutte le prove di CAR aumenta di +1."
medsGrapeMentats,"Riduce la difficoltà delle prove di CAR di 2 (fino a un minimo di 0) , permette di ripetere il tiro di 1d20 sulle prove di Commercio","Durevole",2,0,60,3,"Una scatoletta di Mentat la cui formula è stata modificata per ridurre l’ansia sociale, aumentare l’autostima e rendere più consapevoli del linguaggio del corpo e altri indizi sociali. ƒ Dipendenza da Mentat: Il fallimento di un tiro per la dipendenza rende assuefatti da Mentat. Quando non si è sotto l’effetto di un qualche tipo di Mentat (quelle Normali, ai Frutti di Bosco, all’Uva o all’Arancia), la difficoltà di tutte le prove di CAR aumenta di +1."
medsStimpakDiffuser,"Ripristina 4 PS a chiunque si trovi a distanza Ravvicinata","Istantaneo","0",0,100,5,""
medsOverdrive,"+3 danni su tutti gli attacchi , si può ripetere il tiro di un massimo di 3 per ogni tiro sui danni","Durevole","1",0,55,3,"Una versione potenziata di Psycho che stimola in maniera massiccia l’aggressività e rende chi lo utilizza più pericoloso in battaglia. ƒ Dipendenza da Overdrive: Il fallimento di un tiro per la dipendenza rende assuefatti da Overdrive. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove di FOR e AGI aumenta di +1."
medsPsycho,"+2 danni a tutti gli attacchi , +3 alla Resistenza ai Danni Fisici","Durevole",2,0,50,2,"Un potente stimolante da combattimento creato dall’esercito americano al fine di aumentare l’efficacia dei propri soldati. È ancora diffuso nella Zona Contaminata, poiché lo stabilimento Girafiore sorto dopo la guerra è riuscito a replicare molti degli ingredienti della versione anteguerra. Lo Psycho stimola l’aggressività e inibisce i recettori del dolore, permettendo a chi lo usa di combattere più duramente curandosi di meno della propria incolumità. ƒ Dipendenza da Psycho: Il fallimento di un tiro per la dipendenza rende assuefatti da Psycho. Quando non si è sotto l’effetto di un qualche tipo di Psycho (quello normale, Psycho Jet, Psychobuff o Psychotat), la difficoltà di tutte le prove di FOR aumenta di +1 e si soffre +1 danno DC a tutti gli attacchi Fisici subiti."
medsPsychojet,"+ 2 danni a tutti gli attacchi , +4 alla Resistenza ai Danni Fisici . Si ottengono immediatamente 4 PA (che vanno persi se non vengono spesi)","Breve","1",0,70,4,"Si tratta di un forte cocktail, altamente assuefacente, di Psycho e Jet che aumenta l’aggressività, riduce il dolore e aumenta i riflessi e i livelli di energia di chi lo assume. L’effetto dura poco, meno di un minuto, ma comprende sempre uno scoppio esplosivo di estrema violenza. ƒ Dipendenza da Psycho: Il fallimento di un tiro per la dipendenza rende assuefatti da Psycho. Quando non si è sotto l’effetto di un qualche tipo di Psycho (quello normale, Psycho Jet, Psychobuff o Psychotat), la difficoltà di tutte le prove di FOR aumenta di +1 e si soffre +1 danno DC a tutti gli attacchi Fisici subiti."
medsPsychobuff,"+2 danni a tutti gli attacchi , +4 al massimale dei PS . Riduce la difficoltà di tutte le prove su FOR e COS di 1 (fino a un minimo di 0)","Durevole","1",0,70,4,"Un cocktail altamente assuefacente di Psycho e steroidi Buffout, che combina gli effetti delle due droghe per ottenere un periodo di forza, resistenza e aggressività estreme. ƒ Dipendenza da Psycho: Il fallimento di un tiro per la dipendenza rende assuefatti da Psycho. Quando non si è sotto l’effetto di un qualche tipo di Psycho (quello normale, Psycho Jet, Psychobuff o Psychotat), la difficoltà di tutte le prove di FOR aumenta di +1 e si soffre +1 danno DC a tutti gli attacchi Fisici subiti."
medsPsychotat,"+2 danni a tutti gli attacchi , +2 alla Resistenza ai Danni Fisici , riduce la difficoltà delle prove su PER di 1 (fino a un minimo di 0)","Durevole","1",0,70,4,"È un cocktail di Psycho e Mentat; In qualche modo, la percezione aumentata garantita dalle prime e l’aggressività e insensibilità al dolore delle seconde, si cancellano l’una con le altre, ma l’effetto risultante è un breve periodo di estrema aggressività, una acutezza dei sensi estremamente elevata e una rafforzata tolleranza al dolore. ƒ Dipendenza da Psycho: Il fallimento di un tiro per la dipendenza rende assuefatti da Psycho. Quando non si è sotto l’effetto di un qualche tipo di Psycho (quello normale, Psycho Jet, Psychobuff o Psychotat), la difficoltà di tutte le prove di FOR aumenta di +1 e si soffre +1 danno DC a tutti gli attacchi Fisici subiti."
medsRadX,"+6 alla Resistenza ai Danni da Radiazione","Durevole","0",0,40,2,"Un farmaco preventivo per coloro che hanno intenzione di entrare in zone ad alto rischio di esposizione alle radiazioni. Una dose aiuta a resistere agli effetti delle radiazioni, specialmente in combinazione con altre misure protettive. A causa della sua scarsità, solitamente lo si trova diluito, fatto che riduce l’efficacia della dose, ma fa sì che le riserve limitate durino di più. Il Rad-X diluito ha circa metà dell’efficacia, ma è più facile trovarlo."
medsDilutedRadX,"+3 alla Resistenza ai Danni da Radiazione","Durevole","0",0,25,1,"Un farmaco preventivo per coloro che hanno intenzione di entrare in zone ad alto rischio di esposizione alle radiazioni. Una dose aiuta a resistere agli effetti delle radiazioni, specialmente in combinazione con altre misure protettive. A causa della sua scarsità, solitamente lo si trova diluito, fatto che riduce l’efficacia della dose, ma fa sì che le riserve limitate durino di più. Il Rad-X diluito ha circa metà dell’efficacia, ma è più facile trovarlo."
medsRadAway,"Guarisce 4 danni da Radiazioni (vedere descrizione)","Istantaneo","0",0,80,2,"Una droga da iniettare per endovena che ripulisce il corpo di chi la usa dalle radiazioni, assorbendole mentre fluisce nel sistema circolatorio. È anche un potente diuretico: le radiazioni vengono espulse attraverso le urine, per cui è consigliabile bere un sacco di acqua (pulita) subito dopo aver preso una dose. Talvolta si trova in forma diluita, che ne riduce l’efficacia dato che la dose assunta è solo parziale. Il RadAway diluito ha circa metà dell’efficacia, ma è più facile trovarlo. ƒ Utilizzo: Il RadAway può essere usato in due modi: può essere applicato con l’azione minore Assumere Sostanze per guarire immediatamente 4 danni da Radiazioni o può essere iniettato come parte di un’azione di Primo Soccorso e guarire 4 danni da Radiazioni in aggiunta a ogni altra cura (rimuovere i danni da Radiazioni prima di applicare altri effetti curativi). Il RadAway diluito funziona allo stesso modo, ma guarisce solo 2 danni da Radiazioni."
medsDilutedRadAway,"Guarisce 2 danni da Radiazioni (vedere descrizione)","Istantaneo","0",0,50,1,"Una droga da iniettare per endovena che ripulisce il corpo di chi la usa dalle radiazioni, assorbendole mentre fluisce nel sistema circolatorio. È anche un potente diuretico: le radiazioni vengono espulse attraverso le urine, per cui è consigliabile bere un sacco di acqua (pulita) subito dopo aver preso una dose. Talvolta si trova in forma diluita, che ne riduce l’efficacia dato che la dose assunta è solo parziale. Il RadAway diluito ha circa metà dell’efficacia, ma è più facile trovarlo. ƒ Utilizzo: Il RadAway può essere usato in due modi: può essere applicato con l’azione minore Assumere Sostanze per guarire immediatamente 4 danni da Radiazioni o può essere iniettato come parte di un’azione di Primo Soccorso e guarire 4 danni da Radiazioni in aggiunta a ogni altra cura (rimuovere i danni da Radiazioni prima di applicare altri effetti curativi). Il RadAway diluito funziona allo stesso modo, ma guarisce solo 2 danni da Radiazioni."
medsSkeetoSpit,"+2 al massimale dei PS","Durevole","0",0,40,2,"Derivato dalle secrezioni di un Succhiasangue e dalle proprietà curative di alcune piante della Zona Contaminata, lo Skeeto Spit è un rimedio della Zona Contaminata che inibisce la percezione del dolore di chi lo assume. Funziona, dura abbastanza e non dà dipendenza, ma normalmente è fatto in casa, dato che di solito non viene prodotto in grandi quantità."
medsStimpak,"Ripristina 4 PS (vedere descrizione)","Istantaneo","0",0,50,2,"Il pacchetto di stimolanti pronti all’uso Stimpak è un tipo di medicina ad azione rapida utilizzato per potenziare le capacità di guarigione e recupero del corpo. Ne furono prodotti milioni e milioni per i kit di primo soccorso domestici e sui luoghi di lavoro, ospedali, cliniche e altri posti. Prodigio della scienza dell’anteguerra, lo Stimpak è una siringa monouso piena di una serie di forti agenti curativi, stimolanti e antidolorifici, che può essere iniettata sia intramuscolo che per endovena: la si può infilzare ovunque, funzionerà. Ovviamente raggiunge il massimo dell’efficacia quando è iniettato da un Auto-Doc o da qualcuno con una formazione medica, assieme ad altri trattamenti. Alle volte se ne può trovare una versione diluita, che ne riduce l’efficacia dato che la dose assunta è solo parziale. Gli Stimpak diluiti hanno circa la metà dell’efficacia, ma è più facile trovarli. ƒ Utilizzo: Gli Stimpak possono essere usati in due modi: possono essere iniettati con l’azione minore Assumere Sostanze per ripristinare immediatamente 4 PS o curare una ferita, oppure possono essere iniettati come parte di un’azione di Primo Soccorso e guarire 4 PS o curare una ferita, in aggiunta a ogni altra cura. Gli Stimpak diluiti funzionano allo stesso modo, ma guariscono solo 2 PS, sebbene curino le ferite allo stesso modo."
medsDilutedStimpak,"Ripristina 2 PS (vedere descrizione)","Istantaneo","0",0,30,1,"Il pacchetto di stimolanti pronti all’uso Stimpak è un tipo di medicina ad azione rapida utilizzato per potenziare le capacità di guarigione e recupero del corpo. Ne furono prodotti milioni e milioni per i kit di primo soccorso domestici e sui luoghi di lavoro, ospedali, cliniche e altri posti. Prodigio della scienza dell’anteguerra, lo Stimpak è una siringa monouso piena di una serie di forti agenti curativi, stimolanti e antidolorifici, che può essere iniettata sia intramuscolo che per endovena: la si può infilzare ovunque, funzionerà. Ovviamente raggiunge il massimo dell’efficacia quando è iniettato da un Auto-Doc o da qualcuno con una formazione medica, assieme ad altri trattamenti. Alle volte se ne può trovare una versione diluita, che ne riduce l’efficacia dato che la dose assunta è solo parziale. Gli Stimpak diluiti hanno circa la metà dell’efficacia, ma è più facile trovarli. ƒ Utilizzo: Gli Stimpak possono essere usati in due modi: possono essere iniettati con l’azione minore Assumere Sostanze per ripristinare immediatamente 4 PS o curare una ferita, oppure possono essere iniettati come parte di un’azione di Primo Soccorso e guarire 4 PS o curare una ferita, in aggiunta a ogni altra cura. Gli Stimpak diluiti funzionano allo stesso modo, ma guariscono solo 2 PS, sebbene curino le ferite allo stesso modo."
medsSuperStimpak,"Ripristina 8 PS (vedere descrizione)","Istantaneo","0",0,90,4,"Il super Stimpak è una versione potenziata di quello standard, con un’ulteriore fiala di medicina e una fettuccia di cuoio per assicurare l’ago al braccio del paziente durante il trattamento. Usa un coctktail di medicine più forte, che fanno guarire in maniera molto più efficace. ƒ Utilizzo: I Super Stimpak possono essere usati in due modi: possono essere iniettati con l’azione minore Assumere Sostanze per ripristinare immediatamente 8 PS o curare fino a due Ferite, oppure possono essere iniettati come parte di un’azione di Primo Soccorso e guarire 8 PS o curare fino a due Ferite in aggiunta a ogni altra cura."
medsUltraJet,"Si ottengono immediatamente 6 PA (che vanno persi se non vengono spesi ) , le azioni extra costano 1 PA in meno","Breve",3,0,67,2,"Si tratta di una forma di Jet altamente concentrato, che è esponenzialmente più forte e, grazie alla sua potenza, funziona sui ghoul proprio come sugli umani. ƒ Dipendenza da Ultra Jet: Il fallimento di un tiro per la dipendenza rende assuefatti da Ultra Jet. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove di AGI aumenta di +1 e si genera 1 PA in meno ogni volta che si ha successo in una prova di abilità (fino a un minimo di 0). La dipendenza è permanente e non esistono mezzi conosciuti in grado di trattarla."
medsXCell,"Il primo d20 comprato per qualsiasi prova è gratis","Durevole","1",0,60,4,"L’X-cell era uno stimolatore multiuso che prima della Grande Guerra era ancora in fase di sviluppo. La ricerca non fu mai completata, ma dopo la Guerra alcuni prototipi furono messi in circolazione sul mercato nero e dagli sciacalli. Per alcuni minuti, aumenta tutte le abilità di chi lo assume, ma è estremamente assuefacente e i sintomi da astinenza sono estesi quanto gli effetti. ƒ Dipendenza da X-cell: Il fallimento di un tiro per la dipendenza rende assuefatti da X-cell. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove aumenta di +1."
